student_id,swipe_timestamp,meal_period
STU127,2025-09-16 07:23:45,Breakfast
STU034,2025-09-16 07:41:12,Breakfast
STU298,2025-09-16 08:05:33,Breakfast
STU156,2025-09-16 07:52:21,Breakfast
STU445,2025-09-16 08:18:45,Breakfast
STU089,2025-09-16 07:36:12,Breakfast
STU623,2025-09-16 08:12:33,Breakfast
STU234,2025-09-16 07:48:21,Breakfast
STU567,2025-09-16 08:03:45,Breakfast
STU012,2025-09-16 07:29:33,Breakfast
STU389,2025-09-16 08:21:12,Breakfast
STU678,2025-09-16 07:55:45,Breakfast
STU145,2025-09-16 08:09:21,Breakfast
STU456,2025-09-16 07:43:33,Breakfast
STU723,2025-09-16 08:16:45,Breakfast
STU067,2025-09-16 07:38:12,Breakfast
STU234,2025-09-16 12:25:45,Lunch
STU567,2025-09-16 12:48:21,Lunch
STU145,2025-09-16 13:12:33,Lunch
STU298,2025-09-16 12:39:12,Lunch
STU678,2025-09-16 13:05:45,Lunch
STU456,2025-09-16 12:52:21,Lunch
STU089,2025-09-16 13:18:33,Lunch
STU623,2025-09-16 12:31:45,Lunch
STU723,2025-09-16 13:14:12,Lunch
STU127,2025-09-16 12:43:33,Lunch
STU034,2025-09-16 13:07:21,Lunch
STU156,2025-09-16 12:56:45,Lunch
STU445,2025-09-16 13:22:12,Lunch
STU012,2025-09-16 12:37:33,Lunch
STU389,2025-09-16 13:01:45,Lunch
STU067,2025-09-16 12:49:21,Lunch
STU298,2025-09-16 18:34:12,Dinner
STU145,2025-09-16 19:07:33,Dinner
STU456,2025-09-16 18:51:21,Dinner
STU234,2025-09-16 19:23:45,Dinner
STU089,2025-09-16 18:42:12,Dinner
STU678,2025-09-16 19:15:33,Dinner
STU567,2025-09-16 18:28:45,Dinner
STU623,2025-09-16 19:01:21,Dinner
STU127,2025-09-16 18:46:33,Dinner
STU723,2025-09-16 19:18:12,Dinner
STU034,2025-09-16 18:39:45,Dinner
STU156,2025-09-16 19:12:21,Dinner
STU445,2025-09-16 18:55:33,Dinner
STU012,2025-09-16 19:26:45,Dinner
STU389,2025-09-16 18:33:21,Dinner
STU067,2025-09-16 19:04:45,Dinner
STU512,2025-09-16 07:31:45,Breakfast
STU743,2025-09-16 08:14:21,Breakfast
STU198,2025-09-16 07:47:33,Breakfast
STU321,2025-09-16 08:02:45,Breakfast
STU654,2025-09-16 07:39:12,Breakfast
STU087,2025-09-16 08:23:33,Breakfast
STU432,2025-09-16 07:56:21,Breakfast
STU765,2025-09-16 08:11:45,Breakfast
STU198,2025-09-16 12:33:21,Lunch
STU512,2025-09-16 12:57:45,Lunch
STU321,2025-09-16 13:11:12,Lunch
STU743,2025-09-16 12:44:33,Lunch
STU654,2025-09-16 13:08:21,Lunch
STU087,2025-09-16 12:51:45,Lunch
STU432,2025-09-16 13:16:12,Lunch
STU765,2025-09-16 12:38:33,Lunch
STU321,2025-09-16 18:41:33,Dinner
STU512,2025-09-16 19:14:21,Dinner
STU198,2025-09-16 18:57:45,Dinner
